number,quantity,color,ldraw_file,note
970c00,1,Black,parts/970c00.dat,
3070,1,Dark Bluish Gray,parts/3070.dat,
15712,1,Dark Bluish Gray,parts/15712.dat,
3005,2,Dark Bluish Gray,parts/3005.dat,
3069,1,Dark Bluish Gray,parts/3069.dat,
35480,2,Dark Bluish Gray,parts/35480.dat,
73825,1,Dark Bluish Gray,parts/73825.dat,
99207,6,Dark Bluish Gray,parts/99207.dat,
3622,2,Dark Bluish Gray,parts/3622.dat,
2431,1,Dark Bluish Gray,parts/2431.dat,
69729,2,Dark Bluish Gray,parts/69729.dat,
3033,3,Dark Bluish Gray,parts/3033.dat,
60479,2,Dark Bluish Gray,parts/60479.dat,
3070,1,Light Bluish Gray,parts/3070.dat,
3024,1,Light Bluish Gray,parts/3024.dat,
3386,7,Light Bluish Gray,parts/3386.dat,
3005,6,Light Bluish Gray,parts/3005.dat,
48729b,1,Light Bluish Gray,parts/48729b.dat,
3069,4,Light Bluish Gray,parts/3069.dat,
3023,4,Light Bluish Gray,parts/3023.dat,
3794b,1,Light Bluish Gray,parts/3794b.dat,
61409,2,Light Bluish Gray,parts/61409.dat,
85984,2,Light Bluish Gray,parts/85984.dat,
37352,4,Light Bluish Gray,parts/37352.dat,
73825,2,Light Bluish Gray,parts/73825.dat,
3004,1,Light Bluish Gray,parts/3004.dat,
79389,2,Light Bluish Gray,parts/79389.dat,
3068,8,Light Bluish Gray,parts/3068.dat,
2420,2,Light Bluish Gray,parts/2420.dat,
3022,8,Light Bluish Gray,parts/3022.dat,
11203,2,Light Bluish Gray,parts/11203.dat,
5846,4,Light Bluish Gray,,NOT FOUND in LDraw library snapshot
34103,11,Light Bluish Gray,parts/34103.dat,
3021,2,Light Bluish Gray,parts/3021.dat,
3710,1,Light Bluish Gray,parts/3710.dat,
2431,1,Light Bluish Gray,parts/2431.dat,
79756,2,Light Bluish Gray,parts/79756.dat,
3633,2,Light Bluish Gray,parts/3633.dat,
22886,1,Light Bluish Gray,parts/22886.dat,
973pb2066c01,1,Light Bluish Gray,parts/973.dat,Printed variant not in LDraw lib; substituted plain geometry (973.dat)
78329,2,Light Bluish Gray,parts/78329.dat,
69729,2,Light Bluish Gray,parts/69729.dat,
4162,2,Light Bluish Gray,parts/4162.dat,
4510,4,Light Bluish Gray,parts/4510.dat,
30586,2,Light Bluish Gray,parts/30586.dat,
90398,4,White,parts/90398.dat,
26604,2,White,parts/26604.dat,
3069,4,White,parts/3069.dat,
3794b,7,White,parts/3794b.dat,
4733,1,White,parts/4733.dat,
86876,4,White,parts/86876.dat,
87994,1,White,parts/87994.dat,
3277,1,Dark Red,,NOT FOUND in LDraw library snapshot
3070,3,Reddish Brown,parts/3070.dat,
24246,3,Reddish Brown,parts/24246.dat,
3070,1, Medium Nougat,parts/3070.dat,
3069,1,Medium Nougat,parts/3069.dat,
15573,5,Medium Nougat,parts/15573.dat,
3023,9,Medium Nougat,parts/3023.dat,
87580,1,Medium Nougat,parts/87580.dat,
2420,6,Medium Nougat,parts/2420.dat,
34103,2,Medium Nougat,parts/34103.dat,
69729,2,Medium Nougat,parts/69729.dat,
3024,14,Tan,parts/3024.dat,
3386,3,Tan,parts/3386.dat,
4070,8,Tan,parts/4070.dat,
87087,4,Tan,parts/87087.dat,
3794b,10,Tan,parts/3794b.dat,
3069,10,Tan,parts/3069.dat,
3023,11,Tan,parts/3023.dat,
1748,2,Tan,parts/1748.dat,
99780,4,Tan,parts/99780.dat,
3004,12,Tan,parts/3004.dat,
11211,4,Tan,parts/11211.dat,
32952,11,Tan,parts/32952.dat,
86876,10,Tan,parts/86876.dat,
33909,2,Tan,parts/33909.dat,
3022,6,Tan,parts/3022.dat,
3068,18,Tan,parts/3068.dat,
11203,2,Tan,parts/11203.dat,
99207,12,Tan,parts/99207.dat,
3623,4,Tan,parts/3623.dat,
34103,11,Tan,parts/34103.dat,
63864,4,Tan,parts/63864.dat,
2357,2,Tan,parts/2357.dat,
44728,2,Tan,parts/44728.dat,
3622,4,Tan,parts/3622.dat,
3021,5,Tan,parts/3021.dat,
2431,3,Tan,parts/2431.dat,
3666,2,Tan,parts/3666.dat,
3460,2,Tan,parts/3460.dat,
3008,1,Tan,parts/3008.dat,
3626pb1227,1,Light Nougat,parts/3626.dat,Printed variant not in LDraw lib; substituted plain geometry (3626.dat)
3005,2,Dark Green,parts/3005.dat,
87087,2,Dark Green,parts/87087.dat,
3004,2,Dark Green,parts/3004.dat,
2431,4,Dark Green,parts/2431.dat,
3010,6,Dark Green,parts/3010.dat,
3020,4,Dark Green,parts/3020.dat,
87079,4,Dark Green,parts/87079.dat,
24246,6,Trans-Black,parts/24246.dat,
3024,6,Trans-Black,parts/3024.dat,
3023,6,Trans-Black,parts/3023.dat,
